id,jurisdiction,includes_jails,year,prisoner_count,crime_reporting_change,crimes_estimated,state_population,violent_crime_total,murder_manslaughter,rape_legacy,rape_revised,robbery,agg_assault,property_crime_total,burglary,larceny,vehicle_theft
1,ALABAMA,FALSE,2016,23745,FALSE,FALSE,4860545,25878,407,,1915,4687,18869,143259,34045,97498,11716
2,ALASKA,TRUE,2016,4378,FALSE,FALSE,741522,5966,52,,1053,850,4011,24876,4053,17766,3057
4,ARIZONA,FALSE,2016,42248,FALSE,FALSE,6908642,32542,389,,3304,7045,21804,207317,38216,150618,18483
5,ARKANSAS,FALSE,2016,15833,FALSE,FALSE,2988231,16563,217,,2214,2125,12007,98092,23814,67091,7187
6,CALIFORNIA,FALSE,2016,129416,FALSE,FALSE,39296476,174796,1930,,13702,54789,104375,1002070,188304,637010,176756
8,COLORADO,FALSE,2016,19486,FALSE,FALSE,5530105,19030,189,,3635,3525,11681,152146,23825,108680,19641
9,CONNECTICUT,TRUE,2016,15040,FALSE,FALSE,3587685,8169,79,,791,2711,4588,64875,10107,47642,7126
10,DELAWARE,TRUE,2016,6334,FALSE,FALSE,952698,4859,58,,311,1359,3131,26370,5028,19812,1530
12,FLORIDA,FALSE,2016,98010,FALSE,FALSE,20656589,88700,1111,,7598,20175,59816,553812,100325,410352,43135
13,GEORGIA,FALSE,2016,53433,FALSE,FALSE,10313620,40268,682,,3381,12114,24091,307305,62715,218127,26463
15,HAWAII,TRUE,2016,5182,FALSE,FALSE,1428683,3452,35,,601,985,1831,42353,5983,30871,5499
16,IDAHO,FALSE,2016,7221,FALSE,FALSE,1680026,3876,49,,719,213,2895,29357,6318,20962,2077
17,ILLINOIS,FALSE,2016,43616,FALSE,FALSE,12835726,56054,1061,,5003,17829,32161,263256,48193,195196,19867
18,INDIANA,FALSE,2016,25143,FALSE,FALSE,6634007,26516,431,,2449,7291,16345,168460,33567,120454,14439
19,IOWA,FALSE,2016,9049,FALSE,FALSE,3130869,9170,73,,1278,1150,6669,65888,15306,45580,5002
20,KANSAS,FALSE,2016,9653,FALSE,FALSE,2907731,11665,132,,1618,1757,8158,82293,14759,60119,7415
21,KENTUCKY,FALSE,2016,11867,FALSE,FALSE,4436113,10452,265,,1748,3371,5068,97713,20932,66833,9948
22,LOUISIANA,FALSE,2016,15059,FALSE,FALSE,4686157,26477,555,,1819,5575,18528,154511,34689,109492,10330
23,MAINE,FALSE,2016,2356,FALSE,FALSE,1330232,1649,20,,413,268,948,21908,4001,17131,776
24,MARYLAND,FALSE,2016,20236,FALSE,FALSE,6024752,29019,536,,1827,10815,15841,139716,24832,100995,13889
25,MASSACHUSETTS,FALSE,2016,9038,FALSE,FALSE,6823721,25975,135,,2141,5365,18334,106430,19204,79155,8071
26,MICHIGAN,FALSE,2016,41122,FALSE,FALSE,9933445,45782,612,,7268,7123,30779,190249,39738,130249,20262
27,MINNESOTA,FALSE,2016,9509,FALSE,FALSE,5525050,13365,101,,2349,3730,7185,117723,18582,90421,8720
28,MISSISSIPPI,FALSE,2016,13720,FALSE,FALSE,2985415,8411,237,,1282,2433,4459,82521,23489,54725,4307
29,MISSOURI,FALSE,2016,32427,FALSE,FALSE,6091176,31720,538,,2557,6576,22049,170661,31716,120649,18296
30,MONTANA,FALSE,2016,3199,FALSE,FALSE,1038656,3886,37,,598,268,2983,28156,3966,21427,2763
31,NEBRASKA,FALSE,2016,5167,FALSE,FALSE,1907603,5661,49,,1108,946,3558,43197,6459,32009,4729
32,NEVADA,FALSE,2016,13932,FALSE,FALSE,2939254,19924,228,,1729,6338,11629,75922,18816,43949,13157
33,NEW HAMPSHIRE,FALSE,2016,2599,FALSE,FALSE,1335015,2668,19,,609,431,1609,20323,2989,16454,880
34,NEW JERSEY,FALSE,2016,19458,FALSE,FALSE,8978416,21861,378,,1454,8940,11089,138012,25229,101459,11324
35,NEW MEXICO,FALSE,2016,6996,FALSE,FALSE,2085432,14585,139,,1527,2737,10182,81930,17280,52907,11743
36,NEW YORK,FALSE,2016,50611,FALSE,FALSE,19836286,74315,629,,6281,22310,45095,305224,39850,250990,14384
37,NORTH CAROLINA,FALSE,2016,35970,FALSE,FALSE,10156689,37767,678,,2847,9336,24906,277765,72082,190377,15306
38,NORTH DAKOTA,FALSE,2016,1639,FALSE,FALSE,755548,1905,16,,356,181,1352,17451,3248,12249,1954
39,OHIO,FALSE,2016,52172,FALSE,FALSE,11622554,35759,683,,5754,12574,16748,300945,67081,214102,19762
40,OKLAHOMA,FALSE,2016,26367,FALSE,FALSE,3921207,17855,247,,2100,3174,12334,118010,29376,76358,12276
41,OREGON,FALSE,2016,14579,FALSE,FALSE,4085989,10983,116,,1784,2307,6776,121716,16919,91507,13290
42,PENNSYLVANIA,FALSE,2016,48287,FALSE,FALSE,12787085,40389,674,,4459,12314,22942,222394,35178,174147,13069
44,RHODE ISLAND,TRUE,2016,2887,FALSE,FALSE,1057566,2529,29,,445,541,1514,18910,3650,14157,1103
45,SOUTH CAROLINA,FALSE,2016,20376,FALSE,FALSE,4959822,25137,358,,2491,4071,18217,161534,33149,114455,13930
46,SOUTH DAKOTA,FALSE,2016,3770,FALSE,FALSE,861542,3636,28,,526,274,2808,17207,3002,12705,1500
47,TENNESSEE,FALSE,2016,21539,FALSE,FALSE,6649404,42459,495,,2803,7829,31332,191199,40607,135353,15239
48,TEXAS,FALSE,2016,151276,FALSE,FALSE,27904862,121064,1478,,13446,33298,72842,769892,148796,552106,68990
49,UTAH,FALSE,2016,4502,FALSE,FALSE,3044321,7406,74,,1560,1528,4244,90561,12938,68261,9362
60,VERMONT,TRUE,2016,1735,FALSE,FALSE,623354,851,14,,170,78,589,9705,1884,7637,184
51,VIRGINIA,FALSE,2016,29882,FALSE,FALSE,8414380,18495,482,,2830,4826,10357,157292,20159,127285,9848
53,WASHINGTON,FALSE,2016,17228,FALSE,FALSE,7280934,22101,195,,3133,5649,13124,254994,49249,173423,32322
54,WEST VIRGINIA,FALSE,2016,5899,FALSE,FALSE,1828637,6633,85,,684,720,5144,37282,9127,25657,2498
55,WISCONSIN,FALSE,2016,23163,FALSE,FALSE,5772917,17716,232,,2005,4707,10772,111911,19498,82455,9958
56,WYOMING,FALSE,2016,2352,FALSE,FALSE,584910,1431,20,,206,59,1146,11460,1771,8889,800
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"state,id,population,engineers,hurricanes",,,,,,,,,,,,,,,,,
"Alabama,1,4863300,0.003421545,22",,,,,,,,,,,,,,,,,
"Alaska,2,741894,0.001590524,0",,,,,,,,,,,,,,,,,
"Arizona,4,6931071,0.004774154,0",,,,,,,,,,,,,,,,,
"Arkansas,5,2988248,0.002439557,0",,,,,,,,,,,,,,,,,
"California,6,39250017,0.007125857,0",,,,,,,,,,,,,,,,,
"Colorado,8,5540545,0.008087652,0",,,,,,,,,,,,,,,,,
"Connecticut,9,3576452,0.005896906,10",,,,,,,,,,,,,,,,,
"Delaware,10,952065,0.004989155,2",,,,,,,,,,,,,,,,,
"District of Columbia,11,681170,0.011759179,0",,,,,,,,,,,,,,,,,
"Florida,12,20612439,0.003299949,110",,,,,,,,,,,,,,,,,
"Georgia,13,10310371,0.004939686,20",,,,,,,,,,,,,,,,,
"Hawaii,15,1428557,0.001624016,0",,,,,,,,,,,,,,,,,
"Idaho,16,1683140,0.002970638,0",,,,,,,,,,,,,,,,,
"Illinois,17,12801539,0.004478368,0",,,,,,,,,,,,,,,,,
"Indiana,18,6633053,0.002724236,0",,,,,,,,,,,,,,,,,
"Iowa,19,3134693,0.003716472,0",,,,,,,,,,,,,,,,,
"Kansas,20,2907289,0.003811111,0",,,,,,,,,,,,,,,,,
"Kentucky,21,4436974,0.002089262,0",,,,,,,,,,,,,,,,,
"Louisiana,22,4681666,0.001176931,49",,,,,,,,,,,,,,,,,
"Maine,23,1331479,0.002290686,6",,,,,,,,,,,,,,,,,
"Maryland,24,6016447,0.006291088,2",,,,,,,,,,,,,,,,,
"Massachusetts,25,6811779,0.010230808,10",,,,,,,,,,,,,,,,,
"Michigan,26,9928300,0.003876797,0",,,,,,,,,,,,,,,,,
"Minnesota,27,5519952,0.006193894,0",,,,,,,,,,,,,,,,,
"Mississippi,28,2988726,0.000933508,15",,,,,,,,,,,,,,,,,
"Missouri,29,6093000,0.004413261,0",,,,,,,,,,,,,,,,,
"Montana,30,1042520,0.002139048,0",,,,,,,,,,,,,,,,,
"Nebraska,31,1907116,0.005621053,0",,,,,,,,,,,,,,,,,
"Nevada,32,2940058,0.002037375,0",,,,,,,,,,,,,,,,,
"New Hampshire,33,1334795,0.00633056,2",,,,,,,,,,,,,,,,,
"New Jersey,34,8944469,0.007724327,2",,,,,,,,,,,,,,,,,
"New Mexico,35,2081015,0.001883696,0",,,,,,,,,,,,,,,,,
"New York,36,19745289,0.004941432,12",,,,,,,,,,,,,,,,,
"North Carolina,37,10146788,0.004226953,46",,,,,,,,,,,,,,,,,
"North Dakota,38,757952,0.003403909,0",,,,,,,,,,,,,,,,,
"Ohio,39,11614373,0.004095787,0",,,,,,,,,,,,,,,,,
"Oklahoma,40,3923561,0.002286188,0",,,,,,,,,,,,,,,,,
"Oregon,41,4093465,0.005457479,0",,,,,,,,,,,,,,,,,
"Pennsylvania,42,12784227,0.004237253,1",,,,,,,,,,,,,,,,,
"Rhode Island,44,1056426,0.004581485,9",,,,,,,,,,,,,,,,,
"South Carolina,45,4961119,0.002084207,31",,,,,,,,,,,,,,,,,
"South Dakota,46,865454,0.003085086,0",,,,,,,,,,,,,,,,,
"Tennessee,47,6651194,0.002375513,0",,,,,,,,,,,,,,,,,
"Texas,48,27862596,0.004320129,59",,,,,,,,,,,,,,,,,
"Utah,49,3051217,0.006440053,0",,,,,,,,,,,,,,,,,
"Vermont,50,624594,0.004643016,0",,,,,,,,,,,,,,,,,
"Virginia,51,8411808,0.008595061,12",,,,,,,,,,,,,,,,,
"Washington,53,7288000,0.010710757,0",,,,,,,,,,,,,,,,,
"West Virginia,54,1831102,0.00128338,0",,,,,,,,,,,,,,,,,
"Wisconsin,55,5778708,0.004821147,0",,,,,,,,,,,,,,,,,
"Wyoming,56,585501,0.001007684,0",,,,,,,,,,,,,,,,,
"Puerto Rico,72,3411307,0.000773897,0",,,,,,,,,,,,,,,,,
